Country,LAW,"Reproduction + Sharing (all users, all works, some still prohibit commercial uses) (GREEN)","Reproduction, no User Restriction (no sharing) (may be limited to non-commercial) BLUE","Private / Non-commercial + Individual Reproduction Whole Works (Non-commercial, individual, no sharing) (LIGHT BLUE)","Restrictions on User: Institutional Right to Make Research Copies of Full Works
[PURPLE]","Limitations on works, e.g. not whole books, limited to types of works (Orange)",TDM Restricted (Excerpts only) (RED)
Hungary,Act LXXVI of 1999 - Consolidated text (13/06/2018) - https://www.hipo.gov.hu/sites/default/files/szjt_lxxvi_1999_en_rev_1.pdf,,,,"Article 35. (Cases of free use)
Section 35 (1) Natural persons may make copies of the work for private purposes if these do not serve, either directly or indirectly, the purpose of earning or increasing one’s income. This provision shall not apply to architectural works, technical structures, software and computer- operated databases, or to the recording of the public performance of a work on a video or audio carrier. Sheet music shall not be reproduced by means of reprography [section 21(1)] even for private purposes or in the cases mentioned in paragraph (4)b) to d). 
...
(4) Public libraries, educational establishments [section 33(4)], museums, archives and video or audio archives qualifying as public collections shall be allowed to make copies of works if these do not serve, either directly or indirectly, the purpose of earning or increasing one’s income and
a) the copy is necessary for scientific research or archiving,
b) the copy is made for public library supply or for a use specified in section 38(5),
c) the copy is made of a minor part of a published work, or of a newspaper or periodical article, for internal institutional purposes, or



",**the personal use right is restricted in works. But the library rigth is borader.,
Iceland ,"Iceland
Copyright Act, 1972 (Copyright Act No. 73/1972 of May 29, 1972, as amended up to Act No. 90/2018 of June 27, 2018) (Ice.), https://wipolex.wipo.int/en/legislation/details/18497",,,,,"Article 11. (Private/personal use) 
Individuals may make copies of published work for personal use only, provided it is not for financial purposes. Such copies may not be used for any other purpose.
Paragraph 1 do not grant the right to:
1. construction of works by works protected by the rules of architecture;
2. reproduction of works that are protected by the rules of sculpture, art or drawing if the assistance of other persons is sought;
3. the reproduction of protected works and literary works is sought by the assistance of persons who undertake such reproductions for commercial purposes;
4. copy of protected computer programs,
5. reproducible machine-readable database

",
India,,,,,,"Art. 52(1) - ""The following acts shall not constitute an infringement of copyright, namely,— (a) a fair dealing with any work, not being a computer programme, for the purposes of— (i) private or personal use, including research;""",
Indonesia ,"Copyright Law, 2014 (Law of the Republic of Indonesia No. 28 of September 16, 2014, on Copyright) (Indon.), https://wipolex.wipo.int/en/legislation/details/15600","Article 44. (Use, retrieval, duplication, and amendment of a copyright work or a related right)
(1) The use, retrieval, duplication, and amendment of a copyright work or a related right in whole or in part is not considered as a violation of copyright if the source is stated or stated in full for the purposes of:
a. education, research, writing scientific papers, preparing reports, writing criticisms or reviewing a problem without harming the reasonable interests of the Creator or Copyright Holder;
",,,,,
Iran (Islamic Republic of),"Copyright Law, 1970 (Act for Protection of Authors, Composers and Artists Rights,January 12, 1970, Translation and Reproduction of Books, Periodical and Phonograms Act,December 26, 1973) (Iran), https://wipolex.wipo.int/en/text/197798",,,"Article 11. (Private/personal use)
Reproduction of works protected by this law, as mentioned in Article 2, section 1, and the recording of radio and television programmes are permissible, but only for private and noncommercial use. 
",,,
Iraq,"Copyright Law No. 3 for the Year 1971 for the Protection of Copyright (as amended by Coalition Provisional Authority Order Number 83, 2004) https://www.agip.com/Agip_Country_Service.aspx?country_key=140&service_key=C&SubService_Order=2#:~:text=Article%201%20of%20the%20Copyright,of%20expression%2C%20importance%20and%20purpose",,,,,Art. 13: The author may not prevent a person making one copy of a published work for his own use.,
Ireland,"Copyright and Related Rights Act, 2000 (Act No. 28 of 2000) (Ir.), https://wipolex.wipo.int/en/legislation/details/2360",,,,,"Article 50. Fair dealing: Research or private study
(1) Fair dealing with a literary, dramatic, musical or artistic work, sound recording, film, broadcast, cable programme, or non- electronic original database, for the purposes of research or private study, shall not infringe any copyright in the work.
(2) Fair dealing with a typographical arrangement of a published edition for the purposes of research or private study shall not infringe any copyright in the arrangement.
(3) The copying by a person, other than the researcher or private student, is not fair dealing where—
(a) in the case of a librarian or archivist, he or she does anything which is not permitted under section 63, or
(b) in any other case, the person copying knows or has reason to believe that the copying will result in copies of substantially the same material being provided to more than one person at approximately the same time and for substantially the same purpose.
(4) In this Part, ‘‘fair dealing’’ means the making use of a literary, dramatic, musical or artistic work, film, sound recording, broadcast, cable programme, non-electronic original database or typographical arrangement of a published edition which has already been lawfully made available to the public, for a purpose and to an extent which will not unreasonably prejudice the interests of the owner of the copyright.
(5) In this Part, the following acts are not fair dealing—
(a) converting a computer program expressed in a low level computer language into a version expressed in a higher level computer language, or
(b) copying a computer program in an incidental manner in the course of converting that program.
",
Israel,"Copyright Act, 2007 (as amended on July 28, 2011) (Isr.), https://wipolex.wipo.int/en/legislation/details/11509","Article 19. Fair Use 
(a) Fair use of a work is permitted for purposes such as: private study, research, criticism, review, journalistic reporting, quotation, or instruction and examination by an educational institution.
",,,,,
Italy,"Law for the Protection of Copyright and Neighboring Rights, 1941 (Law No. 633 of April 22, 1941, as amended up to Decree-law No. 64 of April 30, 2010) (It.), https://wipole x.wipo.int/en/legislation/details/13133",,,"Article 68. (Reproductions of works)
1. The reproduction of single works or pieces of works for readers' personal use is free, either by hand or with means of reproduction unsuitable for selling or distributing the work to the public.

",,,
Jamaica,"Copyright Act, 1993 (Act 5 of 1993), https://wipolex.wipo.int/en/legislation/details/2586 (as amended by The Copyright (Amendment) Act no. 13, 2015) (Jam.), https://wipolex.wipo.int/en/legislation/details/15937",,,,,"Section 52. Research and Private Study
Subject to section 54, fair dealing with a literary, dramatic, musical or artistic work for the purposes of research or private study does not infringe copyright in the work or, in the case of a published edition, in the typographical arrangement.

Section 54. Determining Fair Dealing 
For the purpose of determining whether an act done in relation to a work constitutes fair dealing, the court determining the question shall take account of all factors which appear to it to be relevant, including— 
(a) the nature of the work in question; 
(b) the extent and substantiality of that part of the work affected by the act in relation to the whole of the work; 
(c) the purpose and character of the use; and 
(d) the effect of the act upon the potential market for, or the commercial value of, the work. 
",
Japan,"Japan
Copyright Act, 1970 (Act No. 48 of May 6, 1970, as amended up to Act No. 72 of July 13, 2018) (Japan), https://wipolex.wipo.int/en/legislation/details/18696","Article 30-4 (ii). Exploitations not for enjoying the ideas or emotions expressed in a work
It is permissible to exploit work, in any way and to the extent considered necessary, in any of the following cases or other cases where such exploitation is not for enjoying or causing another person to enjoy the ideas or emotions expressed in such work; provided, however that this does not apply if the exploitation would unreasonably prejudice the interests of the copyright owner in light of the natures and purposes of such work, as well as the circumstances of such exploitation: (ii) exploitation for using the work in a data analysis (meaning the extraction, comparison, classification, or other statistical analysis of language, sound, or image data, or other elements of which a large number of works or a large volume of data is composed; the same applies in Article 47-5, paragraph (1), item (ii));
",,,,,
Jordan,"Copyright Law, 1992 (Law No. 22 of 1992 on Copyright and its Amendments up to 2005) (Jordan), https://wipolex.wipo.int/en/text/339495",,,,,"Article 17. Use of published works
Published works may be used without the author's permission subject to the following conditions and in the following cases:
...
b. Using the product for personal use, by making one copy through photocopying, recording, photography, translation or musical distribution, provided in all this that it does not violate the ordinary exploitation of the product, and that it does not cause any unjustifiable damage to the legitimate interests of the owner of the right.
",
Kazakhstan,"Law on Copyright and Related Rights, 1996 (Law of the Republic of Kazakhstan No. 6-I of June 10, 1996, as amended up to Law of the Republic of Kazakhstan No. 419-V of November 24, 2015) (Kaz.), https://wipolex.wipo.int/en/legislation/details/19294",,,,,"Section 18. Reproduction of a work for personal purposes without the consent of the author or other copyright holder and without payment of royalties
1. It is allowed, without the consent of the author or other copyright holder and without payment of royalties, the reproduction by an individual in a single copy of a legally published work solely for personal purposes and without income, with the exception of cases provided for in Article 26 of this Law.
2. The provision of paragraph 1 of this article shall not apply to:
1) reproduction of works of architecture in the form of buildings and similar structures;
2) reproduction of databases or essential parts of them;
3) reproduction of computer programs, with the exception of cases provided for in Section 24 of this Law;
4) reproduction (reprographic reproduction) of books (in full) and musical texts.


Sec 20. Reproduction in a single copy without a profit is allowed without the consent of the author or other copyright holder and without payment of royalties, but with the obligatory indication of the name of the author whose work is used and the source of borrowing: ...2) individual articles and small-volume works lawfully published in collections, newspapers and other periodicals, short excerpts from legally published written works (with or without illustrations) by libraries and archives at the request of individuals for educational and research purposes;",
Kenya,"Copyright Act, 2001 (Act No. 12 of 2001, as amended up to Act No. 11 of 2017) (Kenya), https://wipolex.wipo.int/en/text/506085 [update]",,,,,"Art 26(1) Copyright in a literary, musical or artistic work or audio-visual work shall be the exclusive right to control the doing in Kenya of any of the following acts, namely the reproduction in any material form of the original work or its translation or adaptation, the distribution to the public of the work by way of sale, rental, lease, hire, loan, importation or similar arrangement, and the communication to the public and the broadcasting of the whole work or a substantial part thereof, either in its original form or in any form recognisably derived from the original; but copyright in any such work shall not include the right to control— (a) the doing of any of those acts by way of fair dealing for the purposes of scientific research, private use, criticism or review, or the reporting of current events subject to acknowledgement of the source;",
Kiribati,"Kiribati
Copyright Act, 2018 (Act No. 8 of 2018) (Kiribati), https://wipolex.wipo.int/en/text/543458",,,,Art 20(4) A cultural institution does not infringe copyright in a work in its collection by copying the work for the purpose of allowing access to that copy by users of the institution whether for personal use or study on the institution's premises (with or without technical equipment) or by way of a loan. ,,
Kosovo,"""Law No.2004/45
ON COPYRIGHT AND RELATED RIGHTS http://old.kuvendikosoves.org/common/docs/ligjet/2004_45_en.pdf """,,,,,"45.2. A natural person shall be free to reproduce a work :
a). on any medium, if it does so for private use and not for ends that are directly or indirectly commercial, and the copies are not delivered or communicated to the public.
b). on paper or a similar medium, effected by the use of photocopying or a similar photographic technique. 45.4. Regardless of the provisions of the preceding paragraphs 1, 2 and 3 reproduction is not permitted with respect to books in their whole extent, with respect to sheet music, electronic databases, computer programs, and in the form of building of architectural structures, unless otherwise provided by this Law or by contract.",
Kuwait,Law No. 22 of 2016 on Copyright and Related Rights https://www.aalawyer.co/copyright-and-related-rights-act-no-22-2016/ UPDATE,,,,,"Article (29)
While not infringed on the literary and financial rights of copyright in accordance with the provisions of this Law, the use of the work by third parties is in no way an attack on copyright, provided that such use does not conflict with the normal exploitation of the work and does not harm the legitimate interests of the author, and is considered to be used as a means of use. The project in particular is what comes: Second: Copying the original work for the purely personal use of the copier in any way, provided that the work was legitimately published and that the original was obtained legitimately, provided that such copy did not prejudice the normal exploitation of the work or harm the legitimate interests of the right holder.""",
Kyrgyzstan ,"Law on Copyright and Related Rights, 1998 (Law of the Kyrgyz Republic on Copyright and Related Rights, 1998, as amended up to Law No. 14 of January 21, 2014) (Kyrg.), https://wipolex.wipo.int/en/legislation/details/17222",,,,,"Art 20.1. It is allowed without the consent of the author and without paying royalties, but with the obligatory indication of the name of the author, whose works are used, and the source of borrowing, reproduction in a single copy without making profit: ... 2) individual articles and small-volume works lawfully published in collections, newspapers and other periodicals, short excerpts from lawfully published written works (with and without illustrations) by libraries and archives at the request of individuals for educational and research purposes; 3) individual articles and small-volume works lawfully published in collections, newspapers and other periodicals, short excerpts from lawfully published written works (with illustrations and without illustrations) by educational organizations for educational, educational and research purposes.",
"Laos, PDR","Law No. 38/NA of November 15, 2017, on Intellectual Property https://wipolex.wipo.int/en/text/583994",,,,,,"Article 115 (revised). Acts Consistent with Fair Use
The following acts shall be permissible without consent of the author, and without remuneration:
1. making quotations from a work which has already been lawfully made available to the public, provided that their making is compatible with fair use, and their extent does not exceed that justified by the purpose, including quotations from newspaper articles and periodicals in the form of press summaries;
2. utilization, to the extent justified by the purpose, of literary or artistic works by way of illustration in publications, broadcasts or sound or visual recordings for teaching or scientific research, provided such utilization is compatible with fair practice;....
The provisions of this article will not apply to:
1. reproduction of architectural works, including by construction of the work;
2. reproduction that requires circumvention of technological measures to protect 
copyright or related rights, or the unauthorized removal or alteration of electronic rights 
management information.

"
Latvia,"Copyright Law, 2000 (as amended up to December 13, 2018) (Lat.), https://wipolex.wipo.int/en/legislation/details/18546","
",,,,,"Sec 21 (1) It being mandatory that the title and name of the author of the work are indicated and that the provisions of Section 18 of this Law are observed, it is permitted to use communicated or published works or fragments of them in textbooks which are in conformity with educational standards, in radio and television broadcasts, in audio-visual works, in visual aids and the like, which are specially created and used in the face-to-face teaching and research process in educational and research institutions for non-commercial purposes to the extent justified by the purpose of their activity. 

"
Lebanon,"Law on the Protection of Literary and Artistic Property, 1999 (Law No. 75 of 1999) (Leb.), https://wipolex.wipo.int/en/legislation/details/2786",,,,,"Art 23. Without prejudice to the provisions of Article 24 of this Law, any natural person may, for his personal and private use, copy, record or make a single copy of any work protected under this Law without the authorization or consent of the copyright holder and without having to pay him any compensation, provided that the work has been legally published. [note: Art 24 prohibits copying the ""whole or significant part"" of a book]",
Lesotho,"Copyright Order, 1989 (Order No.13 of 1989) (Lesotho), https://wipolex.wipo.int/en/text/209919",,,"Sec. 9. Notwithstanding section 7, the following uses of a protected work, either in the original language or in translation, shall be permissible without the author's consent and without the obligation to pay remuneration for the use of the work (a) in the case of any work that has been made whether or not that work has been lawfully published, (i) the reproduction, translation, adaptation, arrangement or other transformation of such work exclusively for the user's personal and private use",,,
Liberia ,"Liberia Intellectual Property Act, 2016 (An Act to Repeal an Act Adopting a New Copyright Law of the Republic of Liberia approved July 23, 1997; and the Industrial Property Act of Liberia approved March 20, 2003, constituting Title 24 of the Liberian Code of Laws Revised, and to enact in their stead a New Title 24 to be known as the “Liberia Intellectual Property Act, 2016') (Liber.), https://wipolex.wipo.int/en/text/439552","Sec. 9.8(a) Notwithstanding the provisions of Sections 9.6 and 9.7, the fair use of a copyright work, including such use by reproduction in copies or sound recordings or by any other means specified by that section, for purposes such as parody, satire, criticism, comment, news reporting, teaching (including multiple copies for classroom use), scholarship or research, is not an infringement of copyright. ",,,,,
Libya,"Copyright Law (Law No. 9 for 1968 Issuing the Copyright Protection Law) (Lybia), https://wipolex.wipo.int/en/text/234540",,,Art. 12 - The author may not prevent a person making one copy of a published work for his own use.,,,
Liechtenstein,"Law on Copyright and Neighboring Rights, 1999 (consolidated version of December 19, 2006) (Liech.), https://wipolex.wipo.int/en/legislation/details/6897",,,,,"Art 22(1) Published works may be used for special purposes. A special purpose is: ... b) the use of the work for illustration in class or for scientific research insofar as this is justified for the pursuit of non-commercial purposes and if possible the source and the name of the author are given; c) the reproduction of the work on paper or a similar medium by means of photomechanical processes or other processes with a similar effect for educational purposes, for scientific research or for internal information and documentation in companies, public administrations, institutes, commissions and similar institutions; d) digital reproduction for educational purposes and for scientific research without any direct or indirect economic or commercial purpose.",
Lithuania,"Law No. VIII-1185 of May 18, 1999, on Copyright and Related Rights (as amended up to Law No. XII-1183 of October 7, 2014) https://wipolex.wipo.int/en/text/349855",,,,,"Art. 20^1(1). It shall be permitted, without the authorisation of the author of a work or any other owner of copyright in this work, to reproduce by means of reprography, for private use but not for purposes of commercial advantage, a lawfully published article or any other short work, or a short extract of a writing with or without illustrations (effected by the use of any kind of photocopying technique or by some other process having similar effects, where a work is reproduced on paper or any similar medium). (2) The provisions of paragraph 1 of this Article shall not apply to the reproduction by means of reprography of the whole text of a book or a major part thereof, or sheet music. ",
Luxembourg,"Law of April 18, 2001, on Copyright and Related Rights and Databases https://wipolex.wipo.int/en/text/128653",,,,,"Art. 10. When the work, other than a database, has been lawfully made accessible to the public, the author may not prohibit:...4. Reproduction on any medium by a natural person for his private use and for purposes not directly or indirectly commercial, provided that the rights holders receive fair compensation, which takes into account the application of the technical measures referred to in articles 71ter to 71quinquies of this law to the works concerned.",
Madagascar,"Law No. 94-036 of September 18, 1995, on Literary and Artistic Property https://wipolex.wipo.int/en/text/186143",,,,,"Article 42 – ... it shall be permitted, without authorization from the author, to reproduce a work lawfully published exclusively for the private use of the user. Paragraph 1 shall not apply:
1) to the reproduction of works of architecture in the form of buildings or other similar reconstructions; 2) to the reprographic reproduction of limited-edition works of fine art, to the graphic presentation of musical works (scores) or to exercise manuals that are used only once; 3) to the reproduction of the whole or large parts of databases; 4) to the reproduction of computer programs, save in the cases referred to in Article 51. ",
Malawi,"Copyright Act, 2016 (Act No. 26 of 2016) https://wipolex.wipo.int/en/text/446811 
",,,,,"Art 38. The reproduction, translation, adaptation, arrangement or other transformation of a work exclusively for the user's own personal or private use of a work which has already been lawfully made available to the public shall be permitted: Provided that it is made on the basis of a representation that the authorized under this Act at the initiative of the user and not for the purpose of gain and only in single copies. ",
Malaysia,"Copyright Act 1987 (Act No. 332, as amended up to Act No. A1195) https://wipolex.wipo.int/en/text/195942","Art. 13(2) Notwithstanding subsection (1), the right of control under that subsection does not include the right to control— (a) the doing of any of the acts referred to in subsection (1) by way of fair dealing including for purposes of research, private study, criticism, review or the reporting of news or current events",,,,,
Maldives,The Copyright & Related Rights Act https://wipolex.wipo.int/en/text/229881,,,,,"Art. 12(a) Notwithstanding the provisions of Section 10 (a) (1), and subject to the provisions of Subsection (b), the private reproduction of a published work in a single copy shall be permitted without the authorization of the author or owner of copyright, where the reproduction is made by a person exclusively for his own personal purposes.
(b) The permission under Subsection (a) shall not extend to the following. (1) to the reproduction of a work of architecture in the form of building or other construction; (2) to reproduction in the form of the whole or a substantial part of a book or of a musical work in the form of notation; (3) to reproduction of the whole or a substantial part of a database in digital form; (4) to reproduction of a computer program, except as provided in Section 18 of this regulation; and (5) to reproduction of any work in cases where reproduction would affect the normal proceedings the work may generate and could prejudice the legitimate interests of the author or other owner of the copyright. (6) to reproduction of feature films, documentary films, dramas, video songs and other audiovisual presentations created for commercial use.
",
Mali,"Changed from BAngui Agreement

LAW NO. 08-024 OF JULY 23, 2008, LAYING DOWN THE REGIME OF LITERARY AND ARTISTIC PROPERTY IN THE REPUBLIC OF MALI https://wipolex.wipo.int/en/legislation/details/7736 
",,,,,"Article 24: When the work has been lawfully made available to the public, 
the author may not prohibit, subject to respect for his moral rights: b) reproductions, translations and adaptations intended for use 
strictly personal and private of the person who makes them; Article 25: The right of reproduction for private use mentioned in point b 
of article 24 of this law does not apply to: 
1) the reproduction of works of architecture in the form of 
buildings or other similar constructions; 
2) the reprographic reproduction of works of fine art in limited edition 
the presentation of musical works and exercise manuals and 
other publications that are used only once; 
3) the reproduction of all or significant parts of databases 
data ; 
4) reproduction of computer programs except as provided 
in article 28 of this law; 
5) any reproduction of a work that would affect the exploitation 
normal course of the work or would cause undue prejudice to the interests 
legitimate to the author.",
Malta,"Copyright Act, 2000 (Chapter 415, as amended up to Act No. IX of 2003)) https://wipolex.wipo.int/en/text/201333",,,,,"Art 9 (1) Copyright in an audiovisual work, a database, a literary work other than in the case of a computer programme, a musical or artistic work shall not include the right to authorise or prohibit:... (h) the reproduction, translation, distribution or communication to the public of a work for the sole purpose of illustration for teaching or scientific research only to the extent justified by the noncommercial purpose to be achieved, and as long as the source, including the author’s name, is, unless this is impossible, indicated; ",
Marshall Islands,no copyright law available in wipo lex,,,,,,
Martinique,,,,,,,
Mauritania,"LAW NO. 2012-038 OF JULY 17, 2012, ON LITERARY AND ARTISTIC PROPERTY https://wipolex.wipo.int/en/text/539922",,,,"
","Bangui Agreement Art 11 (1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of this Article and those of Article 58, it shall be permitted, without the consent of the author and without payment of remuneration, to reproduce a lawfully published work exclusively for the private use of the user. (2) Paragraph (1) shall not apply to (i) the reproduction of works of architecture in the form of buildings or other similar constructions; (ii) the reprographic reproduction of works of fine art in a limited quantity, the graphical presentation of musical works (scores) and exercise manuals and other publications used once only; (iii) the reproduction of the whole or of significant parts of databases; (iv) the reproduction of computer programs, except in the cases provided for in Article 18; (v) any other reproduction of a work that would prejudice the normal exploitation of the work or would cause unwarranted prejudice to the legitimate interests of the author.

""Article 42. Libraries and archive centers may reproduce a work under 
form of article or other succinct work or short excerpt from a writing accompanied or not illustrations, published in a collection of works or in an issue of a newspaper or 
periodical, with the exception of computer programs and where the reproduction is intended respond to a request from a natural person, provided that: 
– that the copy made will only be used for study or university research purposes or private; 
– that the act of reproduction constitutes an isolated act occurring, if repeated, at distinct and unrelated occasions.""",
Mauritius,The Copyright Act 2014 (Act No. 2 of 2014) https://wipolex.wipo.int/en/text/539951,,,,,"Article 19. Reproduction and other utilisation for teaching and scientific non-commercial purposes - Art 19(1) The following acts shall be permitted in respect of a work without the authorisation of the author or other owner of copyright — (a) the utilisation for scientific research purposes or by way of illustration for teaching of a work that has lawfully been made available to the public, in publications, broadcasting or sound or visual recordings, where such utilisation - (i) is compatible with fair practice; and (ii) does not exceed the extent justified by the purpose; ...(3) For the purposes of this section — “utilisation” includes the making available of such works in computer networks, where access to the works is only available to enrolled pupils or students and their teachers. ",
Mexico,"Federal Law on Copyright (published in the Official Journal of the Federation on December 24, 1996) https://wipolex.wipo.int/en/text/570361",,,,,"Art. 148(4)IV. Reproduction for a single time, and in a single copy, of a literary or artistic work, for use personal and private of who makes it and not for profit. Legal entities may not avail themselves of the provisions of this section unless it is an educational or research institution, or is not dedicated to commercial activities;
",
Monaco,"LAW NO. 491 OF NOVEMBER 24, 1948, ON THE PROTECTION OF LITERARY AND ARTISTIC PROPERTY (AS AMENDED UP TO LAW NO. 1.313 OF JUNE 29, 2006) https://wipolex.wipo.int/en/text/216484",,,,,,"Art. 16 - It is permissible to publish borrowings from literary or artistic works, provided that the source and the author are indicated when these publications are of a scientific or academic nature or constitute chrestomathies."
Mongolia,Law of Mongolia on Copyright and Related Rights https://wipolex.wipo.int/en/text/203959,,,,,24.1. The following circumstances where the works were used without contradicting the normal exploitation of published works and without affecting the legal interests of the right holders shall not be deemed as copyright infringement: ...8. To reproduce works for private use; ... 24.2. The following conditions shall be considered in determining the circumstances provided in Section 24.1 of this law: 24.2.1 To have a non-profit purpose; 24.2.2. The extent of use and the importance of the used parts; 24.2.3. The value of the work and the effect of the used part on the market.,
Montenegro,"LAW ON COPYRIGHT AND RELATED RIGHTS (OFFICIAL GAZETTE OF MONTENEGRO, NO. 37/2011 AND 53/2016 https://wipolex.wipo.int/en/text/475810",,,,,"Art 52. It is allowed, under the condition referred to in Article 36 of this Law, without acquiring the appropriate property right and without paying compensation, to reproduce the published work: 1) natural person: a) on paper or other similar means using an appropriate photographic technique or other procedure with similar effects, b) on another medium if the reproduction was made for private use, if the copies are not available to the public and if the reproduction is not done for direct or indirect material gain; ... Reproduction referred to in paragraph 1 of this Article in the scope of the entire book, music sheet materials, electronic databases, computer programs, as well as the construction of architectural structures according to the project and on the basis of copies that have been illegally reproduced or made available to the public is prohibited.",
Morocco ,"Law No. 2-00 on Copyright and Related Rights (promulgated by Dahir No. 1-00-20 of 9 Kaada 1420 (February 15, 2000), and amended by Law No. 34?05) https://wipolex.wipo.int/en/text/567196",,,,,"Y - Art. 12 Notwithstanding the provisions of Article 10 above, and subject to those in the second paragraph of this Article, it shall be permitted, without the authorization of the author or payment of a fee, to reproduce a lawfully published work solely for the private use of the user. The provisions of the previous paragraph shall not apply to: ... (b) the reprographic reproduction of a whole book or a musical work in graphical form (scores); (c) the reproduction of the whole or parts of databases in digital form; ... Art 16. Notwithstanding the provisions of Article 10 above, and without the authorization of the author or any other copyright owner, a library or archive departments whose activities are not designed directly or indirectly to generate commercial profit may produce, by means of reprographic reproduction, individual copies of a work: (a) when the reproduced work is an article, short work, or short extracts of a written work other than computer programs, with or without illustrations, published in a collection of works or an edition of a journal or periodical, or when the aim of the reproduction is to respond to the request of a natural person;",
Mozambique,"Law No. 4/2001 of February 27, 2001, Approving Copyright and Repealing the Code of Copyright Approved by Decree-Law No. 46.980 of April 27, 1966 (Copyright Law) https://wipolex.wipo.int/en/text/128885",,,,,"Art. 9 - Article 9. Reproduction for Private Purposes
(1) It is permitted to reproduce a lawfully published work exclusively for the user’s private purposes without authorization by the author or payment of remuneration. 
(2) The provisions of the preceding paragraph shall not apply to: (a) the reproduction of works of architecture consisting of buildings or other similar constructions; (b) the reprographic reproduction of limited editions of works of three-dimensional art and the graphic representation of musical works (scores), exercise manuals and other publications, even if they are used only once; (c) the reproduction of whole databases or large parts thereof; (d) the reproduction of computer programs, except as provided for in Article 16; (e) any other reproduction of a work that might prejudice its normal exploitation or cause unjustified harm to the legitimate interests of the author.
",
Myanmar,"COPYRIGHT LAW (LAW NO. 15/2019 OF MAY 24, 2019) https://www.lincolnmyanmar.com/wp-content/uploads/2020/11/Copyright-Law-English-1.pdf (unofficial English translation)",,,,,"Chapter 12 Limitations and exceptions from economic right. Notwithstanding the provisions of sub-section (a) of section 18, a natural person may reprosuce a published work without the authorization of the Right Owner exclusively for his own personal purposes. However, such Reproduction shall not be such that it would constitute a misuse of the Literary and Artistic work or impact the Legal rights of any right owner. provided that this exemption shall not apply in the cases of: a) Reproducction of a work of architecture in the form of the buiilding or other construction b) Reproduction of the musical work as a whole or important part in the form of books or notes c) Reproduction of the whole or of a substantial part of a database in digital form d) Reproduction of a computer program which is not compliance with the provision made under section 30",
Namibia,"COPYRIGHT AND NEIGHBOURING RIGHTS PROTECTION ACT, 1994 (ACT NO. 6 OF 1994) https://wipolex.wipo.int/en/text/222895",,,,,"Art 15. (1) Copyright shall not be infringed by a fair dealing in the use of a literary or musical work-
(a) for the purpose of research or private study by, or the personal or private use of, the person using the work; 
...
Art 16. In addition to reproductions permitted in terms of this Act reproduction of a work shall also be permitted in such circumstances as are prescribed, but in such a manner that the reproduction is not in conflict with a normal exploitation of the work and is not unreasonably prejudicial to the legitimate interests of the owner of the copyright.",
Nauru ,COPYRIGHT ACT 2019 (ACT NO. 17 OF 2019) https://wipolex.wipo.int/en/text/580073,,,,,"""27 Copying for research or private study
(1) An individual does not infringe copyright in a work by:
(a) copying the work for research, private study or other private and non- commercial activity; and
(b) the research, private study or other activity is carried out by the individual or his or her family or friends.
(2) Subsection (1) does not apply where the individual copies:
(a) the whole or a substantial part of a book or musical work without fairly compensating the owner of the copyright for doing so;
(b) a building or other construction;
(c) the whole or a substantial part of a database in digital or electronic form;
(d) a computer program, except where the program itself is not the essential object of the copyright; or
(e) any other work, where the copying would unreasonably prejudice the legitimate interest of the owner of the copyright in the work.
(3) The right to private use includes the right to the importation of a copy of a work, by a person, for his or her personal purposes, shall be permitted
without the authorisation of the author of or other owner of the copyright, in the work.
""",
Nepal,"COPYRIGHT ACT, 2059 (2002) https://wipolex.wipo.int/en/text/189128",,,,,,"Art 16 (1) Notwithstanding anything contained in Clause (a) of Section 7, no authorization shall be required from the author or the copyright owner to reproduce some portions of any published work for personal use.
(2) Notwithstanding anything contained in Sub-section (1), no reproduction of an architectural design erected as a building and other construction related design or a significant portion of any book or of a musical work as notation of all or significant portion of a database through digital transmission shall be allowed in a manner to be prejudicial to the economic right of the author or the copyright owner."
Netherlands,"ACT OF SEPTEMBER 23, 1912, CONTAINING NEW REGULATION FOR COPYRIGHT (COPYRIGHT ACT 1912, AS AMENDED UP TO SEPTEMBER 1, 2017) https://wipolex.wipo.int/en/legislation/details/17868",,,"Art. 16(b). 1. Reproduction which is limited to a few copies and which is exclusively 

serves for personal practice, study or use of the natural person who produces the reproduction without direct or indirect commercial purpose or who commissions the reproduction solely for his own benefit.",,,
New Caledonia (follows French copyright law),"Intellectual Property Code (Consolidated Version As Of October 09, 2016) https://wipolex.wipo.int/en/text/420573",,,,,"""Article L122-5. (Private/personal use) 
When the work has been disclosed, the author cannot prohibit: ... 
10°. Copies and digital reproductions made from a lawful source for the purposes of mining text and data included in or associated with scientific publications, for public research purposes, excluding all commercial purposes. A decree fixes the conditions under which the exploration of texts and data is implemented, as well as the methods of conservation and communication of the files produced at the end of the research activities for which they were produced; these files constitute research data;""",
New Zealand,COPYRIGHT ACT 1994 (REPRINT AS AT 4 JANUARY 2020) https://wipolex.wipo.int/en/legislation/details/19490,Sec. 43 - (1) Fair dealing with a work for the purposes of research or private study does not infringe copyright in the work.,,,,,
